name_long,aerospace,apparel,businessServices,chemicals,energy,engineeringConstruction,financials,foodDrugStores,foodBeveragesTobacco,healthCare,householdProducts,industrials,materials,media,motorVehiclesParts,retailing,technology,telecommunications,transportation,wholesalers,companiesInCountry
Australia,,,,,1,,4,2,,,,,,,,,,,,,7
Austria,,,,,1,,,,,,,,,,,,,,,,1
Belgium,,,,,,,,,1,,,,,,,,,,,,1
Brazil,,,,,3,,4,,1,,,,,,,,,,,,8
Canada,,,,,2,,8,2,,,,,,,1,,,,,,13
China,6,,,1,21,8,26,,,2,,7,15,,7,4,5,3,4,10,119
Denmark,,,,,,,,,,,,,,,,,,,1,,1
Finland,,,,,,,,,,,,,,,,,1,,,,1
France,1,1,,1,4,2,6,3,1,1,1,1,1,1,3,,,1,3,,31
Germany,,1,,1,3,,5,1,,3,,1,1,,6,1,1,1,3,1,29
India,,,,,4,,1,,,,,,,,1,,,,,1,7
Indonesia,,,,,1,,,,,,,,,,,,,,,,1
Ireland,,,,,,,,,,1,,1,1,,,,1,,,,4
Italy,,,,,2,,4,,,,,,,,,,,,,,6
Japan,,,,1,5,1,11,2,,1,,2,2,,10,,7,3,1,6,52
Luxembourg,,,,,,,,,,,,,1,,,,,,,,1
Malaysia,,,,,1,,,,,,,,,,,,,,,,1
Mexico,,,,,2,,,,1,,,,,,,,,1,,,4
Netherlands,1,,1,1,1,,4,1,2,,,,,,,,,,,,11
Norway,,,,,1,,,,,,,,,,,,,,,,1
Poland,,,,,1,,,,,,,,,,,,,,,,1
Russian Federation,,,,,3,,1,,,,,,,,,,,,,,4
Saudi Arabia,,,,1,1,,,,,,,,,,,,,,,,2
Singapore,,,,,,,,,1,,,,,,,,1,,,1,3
Republic of Korea,,,,1,3,,3,,,,,,1,,3,1,3,,,1,16
Spain,,,,,3,1,3,,,,,,,,,1,,1,,,9
Sweden,,,,,,,,,,,,,,,1,,,,,,1
Switzerland,,,1,,1,,5,2,1,2,,1,1,,,,,,,,14
Taiwan,,,,,2,,2,,,,,,,,,,6,,,,10
Thailand,,,,,1,,,,,,,,,,,,,,,,1
Turkey,,,,,1,,,,,,,,,,,,,,,,1
United States,6,1,,1,13,,27,4,9,15,1,5,1,1,2,10,12,4,6,3,121
United Arab Emirates,,,,,,,,,,,,,,,,,,,1,,1
United Kingdom,,,1,,4,,4,2,1,1,1,,,,,,,2,1,,17
Companies by Type,14,3,3,8,85,12,118,19,18,26,3,18,24,2,34,17,37,16,20,23,500
